Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2022-02-15 00:00:00,69.08,47
2022-02-15 01:00:00,69.26,46.9
2022-02-15 02:00:00,69.08,47
2022-02-15 03:00:00,69.08,46.9
2022-02-15 04:00:00,69.08,46.7
2022-02-15 05:00:00,69.08,46.7
2022-02-15 06:00:00,68.72,46.7
2022-02-15 07:00:00,68.72,46.7
2022-02-15 08:00:00,68.54,46.6
2022-02-15 09:00:00,68,47.4
2022-02-15 10:00:00,67.82,47.8
2022-02-15 11:00:00,68.36,50.1
2022-02-15 12:00:00,70.52,46.7
2022-02-15 13:00:00,71.24,46.3
2022-02-15 14:00:00,70.88,47.3
2022-02-15 15:00:00,68.54,39.9
2022-02-15 16:00:00,72.5,40.8
2022-02-15 17:00:00,75.56,37.6
2022-02-15 18:00:00,74.48,34.1
2022-02-15 19:00:00,54.32,35.7
2022-02-15 20:00:00,47.12,41.7
2022-02-15 21:00:00,44.78,44.6
2022-02-15 22:00:00,43.34,46.6
2022-02-15 23:00:00,42.62,48.3
2022-02-16 00:00:00,42.98,48.9
2022-02-16 01:00:00,46.4,53.9
2022-02-16 02:00:00,45.14,56.9
2022-02-16 03:00:00,43.88,58.3
2022-02-16 04:00:00,43.34,58.2
2022-02-16 05:00:00,42.08,59.5
2022-02-16 06:00:00,41,63.5
2022-02-16 07:00:00,40.64,63.8
2022-02-16 08:00:00,41,65.1
2022-02-16 09:00:00,47.3,56.4
2022-02-16 10:00:00,60.98,44.8
2022-02-16 11:00:00,63.86,36.8
2022-02-16 12:00:00,69.8,33.3
2022-02-16 13:00:00,74.12,29.7
2022-02-16 14:00:00,69.8,33.3
2022-02-16 15:00:00,67.82,37.1
2022-02-16 16:00:00,70.52,34.1
2022-02-16 17:00:00,65.48,42
2022-02-16 18:00:00,66.02,45.1
2022-02-16 19:00:00,68.18,45.9
2022-02-16 20:00:00,69.44,44.8
